concept,description
color mapping,"In the input, you will see a grid of colored pixels containing various colors. The output should be a grid that replaces each color in the input grid with a predetermined new color according to the following mapping: black -> red, blue -> green, red -> yellow, yellow -> blue, purple -> orange, orange -> pink, green -> brown, brown -> grey, grey -> black, and pink -> purple."
reflection,"In the input, you will see a grid of colored pixels with various colors arranged in a random pattern. The output should be a grid where each row of the input grid is reversed, showcasing a reflection of the input along the vertical axis. For instance, if the first row of the input is red, blue, green, the first row of the output should be green, blue, red."
rotation,"In the input, you will see a grid of colored pixels. The output should be a grid that represents the input grid rotated 180 degrees, transforming the top of the grid to the bottom and vice versa, as well as reversing left to right."
symmetry,"In the input, you will see a grid of colored pixels that is not symmetric. The output should transform the input grid such that it becomes symmetric with respect to its vertical centerline. This means that each pixel on the left side of the grid will have an identical pixel on the right side, thus creating a mirror image across the vertical axis."
translation,"In the input, you will see a grid of colored pixels with a distinct colored shape positioned in one corner. The output grid should be the same as the input grid except that the colored shape should be shifted two spaces to the right and one space down."
selection,"In the input, you will see a grid of colored pixels with a random arrangement of colors. The output should be a grid that only includes the pixels from the input grid that are colored blue, effectively selecting only the blue pixels from the initial arrangement. Any other color pixel in the output grid should be represented in the output as black, creating a contrast that highlights the selected colors."
inversion,"In the input, you will see a grid of colored pixels that contains various colors. The output should be a grid where every color is replaced with its complementary color. For example, black becomes white, blue becomes yellow, red becomes cyan, and so forth. The transformation should illustrate the concept of color inversion vividly."
radiation,"In the input, you will find a grid representing a colored circle centered in the middle of the grid, with pixels radiating outward in a gradient of colors from the center. The output should be a grid where each pixel's color is transformed to the color of the closest edge pixel in the same row or column, simulating the effect of radiation spreading outward from the center."
upscaling,"In the input, you will see a small grid of colored pixels, specifically a 2x2 grid containing colors arranged in various configurations. The output should be a larger grid formed by upscaling the input grid by a factor of 2, where each pixel in the input grid is represented as a 2x2 block of the same color in the output grid, effectively enlarging the patterns while maintaining the color arrangement."
downscaling,"In the input, you will see a grid of colored pixels with varying colors. The output should be a smaller grid that represents a downscaled version of the input grid, where each group of four adjacent pixels (2x2) in the input is represented by a single pixel in the output. The color of the output pixel should be determined by the dominant color in the corresponding 2x2 area of the input grid. If there is a tie in dominant colors, choose the first color that appears according to a predetermined color order."
growth,"In the input, you will see a grid of colored pixels where some areas are filled with green, representing grass, and others are black, representing bare soil. The output should be a grid where each green pixel expands to its neighboring pixels (up, down, left, right), changing any adjacent black pixels to green, simulating the growth of grass into surrounding areas."
shrinkage,"In the input, you will see a grid of colored pixels that contains a pattern of shapes, such as a colored square or rectangle, surrounded by empty space. The output should be a smaller version of the input grid, where the original shape is shrunk to half its original dimensions, maintaining its position in the grid and scaling down the colors proportionally, while the surrounding empty space remains unchanged."
bounding box,"In the input, you will see a grid of colored pixels with various colors spread throughout. The output should be a grid where the colored pixels are replaced by a single bounding box defined by the outermost edges of the colored pixels. This bounding box should be outlined in red, while the area outside the box remains unchanged in color."
insertion,"In the input, you will see a grid of colored pixels with a pattern including various colors. The output grid should be the same as the input grid, but with a new row of blue pixels inserted directly above the first row of the grid and all other rows shifted down accordingly."
jigsaw,"In the input, you will see a grid of colored pixels composed of several irregular shapes resembling jigsaw puzzle pieces, each filled with different colors. The output should be a rearranged version of the input grid, where each jigsaw piece is relocated to fit perfectly together without any gaps or overlaps, forming a larger square or rectangular shape with a unified color pattern."
ray tracing,"In the input, you will see a grid of colored pixels representing a simple scene with colored objects like a red circle and a blue square placed against a grey background. The output grid should depict the scene as if light rays are shining from a point source (e.g., a yellow pixel in one corner) and reflecting off the edges of the objects. Each object's surface should be shaded based on the angle of reflection, creating light and dark areas according to how the light interacts with the shapes in the grid."
bouncing,"In the input, you will see a colorful grid containing a pattern of pixels that features a diagonal line of colored squares. The output grid should show the transformed pattern where each colored pixel that is above the diagonal line in the input moves downwards to the first available empty position below, while maintaining the horizontal position. Any colored pixel that is originally below the diagonal line will remain unaffected. This transformation will illustrate the concept of 'bouncing' as colored pixels find their new positions based on the diagonal boundary."
filling,"In the input, you will see a grid containing an L-shaped outline where the outer edge is colored green and the inside is colored white. The output grid should be the same as the input grid, except the inside of the L-shape should be completely filled with green."
occlusion,"In the input, you will see a grid of colored pixels where some pixels are colored black to represent objects occluding others. The output should be a grid displaying the colors of the objects that are not obscured by the occluding black pixels. Essentially, this transformation reveals what is visible in the grid without the occlusion."
repetition,"In the input, you will see a grid of colored pixels where a specific pattern of colors is repeated throughout the grid. The output should be a grid that contains only the first occurrence of the pattern, removing any subsequent repetitions."
grouping,"In the input, you will see a grid of colored pixels that are randomly arranged. The output should group the same colored pixels together in contiguous blocks, preserving their relative order from the input. For instance, if you have red, blue, and green pixels spread out, the output will consist of larger blocks of red, blue, and green adjacent to each other."
counting,"In the input, you will see a grid of colored pixels where each pixel represents a distinct object or element and every object is either a blue square or a red square. The output should be a grid that displays the total count of blue squares in each row, represented by the color green for every blue square counted in that row. Rows with zero blue squares should be represented with yellow squares instead."
swapping,"In the input, you will see a grid of colored pixels where pairs of adjacent pixels are colored differently. The output should be a grid where every pair of adjacent pixels (both horizontally and vertically) has been swapped with their neighbors. For example, if two adjacent pixels are blue and red, blue will take the place of red and vice versa."
object identification,"In the input, you will see a grid of colored pixels that form a distinct shape, such as a square, triangle, or circle. The output grid should indicate the identified shape by filling the pixels that belong to the shape with a specific color (e.g., green) while leaving the rest of the pixels in their original colors. For instance, if the shape is a triangle formed by red pixels, the output will fill those red pixels with green, clearly identifying the triangle."
object selection,"In the input, you will see a grid filled with various colored shapes including squares and circles. The output should simply be a grid that retains only the colored squares from the input grid, while all other pixels become black. This will demonstrate the ability to select and filter specific objects based on their shape."
subgrid selection,"In the input, you will see a grid of colored pixels with a defined selection area marked by a solid black border. The output grid should consist of the pixels contained within the border of the selection area, with the rest of the grid turned into a single background color, such as grey."
accretion,"In the input, you will see a grid of colored pixels with a small shape made of one color, such as blue, surrounded by the background color, which is black. The output grid should show the same shape as the input but expanded, with each pixel of the shape growing by adding an additional layer of the same color around it. For example, if the shape is a single blue pixel, it will transform into a plus-sign-like shape expanding outwards by one pixel in all directions, while the surrounding background remains unchanged."
